,user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
2196,7,0.43,0.76,0.01,1
2197,7,0.43,0.76,0.01,1
2198,7,0.26,0.63,0.01,1
2199,7,0.26,0.63,0.01,1
2200,7,0.26,0.63,0.01,1
2201,7,0.24,0.61,0.01,1
2202,7,0.24,0.61,0.01,1
2203,7,0.24,0.61,0.01,1
2204,7,0.55,0.82,0.01,1
2205,7,0.55,0.82,0.01,1
2206,7,0.55,0.82,0.01,1
2207,7,0.53,0.8,0.01,1
2208,7,0.53,0.8,0.01,1
2209,7,0.53,0.8,0.01,1
2210,7,0.55,0.91,0.01,1
2211,7,0.55,0.91,0.01,1
2212,7,0.55,0.91,0.01,1
2213,7,0.2,0.9,0.01,1
2214,7,0.2,0.9,0.01,1
2215,7,0.2,0.9,0.01,1
2216,7,0.2,0.77,0.01,1
2217,7,0.2,0.77,0.01,1
2218,7,0.2,0.77,0.01,1
2219,7,0.27,0.82,0.01,1
2220,7,0.27,0.82,0.01,1
2221,7,0.98,0.99,0.03,2
2222,7,0.99,0.99,0.01,2
2223,7,0.99,0.99,0.01,2
2224,7,0.99,0.99,0.01,2
2225,7,0.26,0.58,0.01,2
2226,7,0.26,0.58,0.01,2
2227,7,0.26,0.58,0.01,2
2228,7,0.38,0.75,0.31,2
2229,7,0.38,0.75,0.31,2
2230,7,0.38,0.75,0.31,2
2231,7,0.28,0.65,0.63,2
2232,7,0.28,0.65,0.63,2
2233,7,0.28,0.65,0.63,2
2234,7,0.46,0.69,0.5,2
2235,7,0.46,0.69,0.5,2
2236,7,0.46,0.69,0.5,2
2237,7,0.39,0.36,0.72,2
2238,7,0.39,0.36,0.72,2
2239,7,0.39,0.36,0.72,2
2240,7,0.38,0.39,0.59,2
2241,7,0.38,0.39,0.59,2
2242,7,0.38,0.39,0.59,2
2243,7,0.49,0.5,0.74,2
2244,7,0.49,0.5,0.74,2
2245,7,0.49,0.5,0.74,2
2246,7,0.25,0.61,0.64,2
2247,7,0.25,0.61,0.64,2
2248,7,0.25,0.61,0.64,2
2249,7,0.26,0.67,0.63,2
2250,7,0.26,0.67,0.63,2
2251,7,0.26,0.67,0.63,2
2252,7,0.29,0.63,0.57,2
2253,7,0.29,0.63,0.57,2
2254,7,0.29,0.63,0.57,2
2255,7,0.45,0.7,0.47,2
2256,7,0.45,0.7,0.47,2
2257,7,0.45,0.7,0.47,2
2258,7,0.05,0.74,0.81,2
2259,7,0.05,0.74,0.81,2
2260,7,0.05,0.74,0.81,2
2261,7,0.13,0.51,0.89,2
2262,7,0.13,0.51,0.89,2
2263,7,0.13,0.51,0.89,2
2264,7,0.21,0.46,0.59,2
2265,7,0.21,0.46,0.59,2
2266,7,0.21,0.46,0.59,2
2267,7,0.11,0.44,0.95,2
2268,7,0.11,0.44,0.95,2
2269,7,0.11,0.44,0.95,2
2270,7,0.32,0.49,0.67,2
2271,7,0.32,0.49,0.67,2
2272,7,0.32,0.49,0.67,2
2273,7,0.26,0.48,0.35,2
2274,7,0.26,0.48,0.35,2
2275,7,0.26,0.48,0.35,2
2276,7,0.37,0.44,0.35,2
2277,7,0.37,0.44,0.35,2
2278,7,0.37,0.44,0.35,2
2279,7,0.37,0.44,0.35,2
2280,7,0.41,0.45,0.32,2
2281,7,1.0,0.83,0.0,2
2282,7,1.0,0.83,0.0,2
2283,7,1.0,0.83,0.0,2
2284,7,1.0,0.91,0.01,2
